_id,user,provider,date,timeSlot,items[0].name,items[1].name,items[2].name,items[3].name,items[4].name,items[5].name,items[0].itemType,items[1].itemType,items[2].itemType,items[3].itemType,items[4].itemType,items[5].itemType,items[0].price,items[1].price,items[2].price,items[3].price,items[4].price,items[5].price,items[0].quantity,items[1].quantity,items[2].quantity,items[3].quantity,items[4].quantity,items[5].quantity,items[0]._id,items[1]._id,items[2]._id,items[3]._id,items[4]._id,items[5]._id,totalPrice,amountPaid,status,paymentStatus,razorpayOrderId,createdAt,updatedAt,__v,platformFee,providerEarning
69db95e2586168c883b6786c,69db9378586168c883b67854,69aab986abf82fb96cee34ef,2026-04-15T00:00:00.000Z,dinner,Paneer Butter Masala,Roti,,,,,veg,veg,,,,,120,15,,,,,1,3,,,,,69db95e2586168c883b6786d,69db95e2586168c883b6786e,,,,,165,0,pending,pending,order_ScaXc6qjGDMjkm,2026-04-12T12:53:54.676Z,2026-04-12T12:53:54.676Z,0,,
69e0a6cd2eab0b385a715b3b,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-14T18:30:00.000Z,lunch,Masoor Dal,Paratha,,,,,dal,bread,,,,,38,15,,,,,2,1,,,,,69e0a6cd2eab0b385a715b3c,69e0a6cd2eab0b385a715b3d,,,,,91,91,completed,paid,,2026-01-14T18:30:00.000Z,2026-01-14T18:30:00.000Z,0,5,86
69e0a6cd2eab0b385a715b3e,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-14T18:30:00.000Z,lunch,Masoor Dal,Matar Paneer,Jeera Rice,,,,dal,sabzi,rice,,,,38,60,30,,,,1,1,1,,,,69e0a6cd2eab0b385a715b3f,69e0a6cd2eab0b385a715b40,69e0a6cd2eab0b385a715b41,,,,128,128,completed,paid,,2026-01-14T18:30:00.000Z,2026-01-14T18:30:00.000Z,0,6,122
69e0a6cd2eab0b385a715b42,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-14T18:30:00.000Z,dinner,Butter Naan,Dal Tadka,,,,,bread,dal,,,,,15,40,,,,,1,1,,,,,69e0a6cd2eab0b385a715b43,69e0a6cd2eab0b385a715b44,,,,,55,55,completed,paid,,2026-01-14T18:30:00.000Z,2026-01-14T18:30:00.000Z,0,3,52
69e0a6cd2eab0b385a715b45,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-14T18:30:00.000Z,lunch,Masoor Dal,Matar Paneer,Jeera Rice,Paratha,Raita,,dal,sabzi,rice,bread,side,,38,60,30,15,20,,1,1,1,1,1,,69e0a6cd2eab0b385a715b46,69e0a6cd2eab0b385a715b47,69e0a6cd2eab0b385a715b48,69e0a6cd2eab0b385a715b49,69e0a6cd2eab0b385a715b4a,,163,163,completed,paid,,2026-01-14T18:30:00.000Z,2026-01-14T18:30:00.000Z,0,8,155
69e0a6cd2eab0b385a715b4b,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-16T18:30:00.000Z,dinner,Rasmalai,Butter Naan,Steamed Rice,,,,dessert,bread,rice,,,,35,15,25,,,,1,2,1,,,,69e0a6cd2eab0b385a715b4c,69e0a6cd2eab0b385a715b4d,69e0a6cd2eab0b385a715b4e,,,,90,90,completed,paid,,2026-01-16T18:30:00.000Z,2026-01-16T18:30:00.000Z,0,5,85
69e0a6cd2eab0b385a715b4f,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-16T18:30:00.000Z,lunch,Fruit Custard,Roti,,,,,dessert,bread,,,,,30,10,,,,,1,2,,,,,69e0a6cd2eab0b385a715b50,69e0a6cd2eab0b385a715b51,,,,,50,50,completed,paid,,2026-01-16T18:30:00.000Z,2026-01-16T18:30:00.000Z,0,3,47
69e0a6cd2eab0b385a715b52,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-19T18:30:00.000Z,lunch,Chana Dal,Paneer Butter Masala,,,,,dal,sabzi,,,,,40,65,,,,,2,2,,,,,69e0a6cd2eab0b385a715b53,69e0a6cd2eab0b385a715b54,,,,,210,210,completed,paid,,2026-01-19T18:30:00.000Z,2026-01-19T18:30:00.000Z,0,11,199
69e0a6cd2eab0b385a715b55,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-19T18:30:00.000Z,lunch,Chana Dal,Roti,,,,,dal,bread,,,,,40,10,,,,,1,1,,,,,69e0a6cd2eab0b385a715b56,69e0a6cd2eab0b385a715b57,,,,,50,50,completed,paid,,2026-01-19T18:30:00.000Z,2026-01-19T18:30:00.000Z,0,3,47
69e0a6cd2eab0b385a715b58,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-19T18:30:00.000Z,lunch,Roti,Veg Pulao,,,,,bread,rice,,,,,10,35,,,,,1,2,,,,,69e0a6cd2eab0b385a715b59,69e0a6cd2eab0b385a715b5a,,,,,80,80,completed,paid,,2026-01-19T18:30:00.000Z,2026-01-19T18:30:00.000Z,0,4,76
